CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_Germany,Geography_Spain,Gender,Cluster,Exited,Segment,ChurnProbability,RiskBand
571,44,9,0.0,2,0,0,38433.35,0,0,1,3,0,Low-Balance Multi-Product Users,0.19412197528335207,Low
574,43,3,141349.43,1,1,1,100187.43,1,0,0,0,0,High-Risk German Affluent,0.208482388919481,Low
411,29,0,59697.17,2,1,1,53483.21,0,0,1,3,0,Low-Balance Multi-Product Users,0.12416000024590934,Low
591,39,3,0.0,3,1,0,140469.38,0,1,0,2,1,Young Engaged Mass-Market,0.5651991868977521,High
533,36,7,85311.7,1,0,1,156731.91,0,0,1,1,0,Affluent Low-Product Users,0.06833793127118884,Low
553,41,9,110112.54,2,0,0,81898.81,1,0,1,0,0,High-Risk German Affluent,0.1658826904861125,Low
520,42,6,0.0,2,1,1,34410.55,0,1,0,2,0,Young Engaged Mass-Market,0.05968783483883726,Low
722,29,9,0.0,2,1,1,142033.07,0,1,0,2,0,Young Engaged Mass-Market,0.014574286123340672,Low
475,45,0,134264.04,1,1,0,27822.99,0,0,0,1,1,Affluent Low-Product Users,0.7483085866366489,High
490,31,3,145260.23,1,0,1,114066.77,0,1,1,2,0,Young Engaged Mass-Market,0.030994376685600143,Low
804,33,7,76548.6,1,0,1,98453.45,0,1,1,2,0,Young Engaged Mass-Market,0.019073627839636773,Low
850,36,7,0.0,1,1,1,40812.9,0,0,1,3,0,Low-Balance Multi-Product Users,0.20282371542923042,Low
582,41,6,70349.48,2,0,1,178074.04,1,0,1,0,0,High-Risk German Affluent,0.07018044959584692,Low
472,40,4,0.0,1,1,0,70154.22,0,1,1,2,0,Young Engaged Mass-Market,0.2962766575862657,Medium
465,51,8,122522.32,1,0,0,181297.65,0,0,0,1,1,Affluent Low-Product Users,0.7245016307426132,High
556,61,2,117419.35,1,1,1,94153.83,0,0,0,1,0,Affluent Low-Product Users,0.21104855959956556,Low
834,49,2,131394.56,1,0,0,194365.76,0,0,0,1,1,Affluent Low-Product Users,0.587818192331637,High
660,61,5,155931.11,1,1,1,158338.39,0,1,0,2,0,Young Engaged Mass-Market,0.3310781603778435,Medium
776,32,4,109421.13,2,1,1,126517.46,1,0,0,0,0,High-Risk German Affluent,0.06412949438899711,Low
829,27,9,112045.67,1,1,1,119708.21,1,0,0,0,1,High-Risk German Affluent,0.6464739595626051,High
637,39,9,137843.8,1,1,1,117622.8,1,0,0,0,1,High-Risk German Affluent,0.7943181100445382,Very High
550,38,2,103391.38,1,0,1,90878.13,1,0,1,0,0,High-Risk German Affluent,0.1896925316133999,Low
776,37,2,103769.22,2,1,0,194099.12,1,0,0,0,0,High-Risk German Affluent,0.13361353842895832,Low
698,44,10,116363.37,2,1,0,198059.16,1,0,1,0,0,High-Risk German Affluent,0.1810378983431558,Low
585,36,5,146050.97,2,0,0,86424.57,1,0,1,0,0,High-Risk German Affluent,0.04586633173885728,Low
788,33,5,0.0,2,0,0,116978.19,0,0,0,3,0,Low-Balance Multi-Product Users,0.020841032190790528,Low
655,41,8,125561.97,1,0,0,164040.94,1,0,1,0,1,High-Risk German Affluent,0.7665525632230097,Very High
601,42,1,98495.72,1,1,0,40014.76,1,0,1,0,1,High-Risk German Affluent,0.5579908471246025,High
619,43,1,125211.92,1,1,1,113410.49,0,0,1,1,0,Affluent Low-Product Users,0.13787521456191582,Low
656,45,5,127864.4,1,1,0,87107.57,0,0,1,1,0,Affluent Low-Product Users,0.33804942793436904,Medium
725,19,0,75888.2,1,0,0,45613.75,1,0,1,0,0,High-Risk German Affluent,0.08048289959910163,Low
511,66,4,0.0,1,1,0,1643.11,0,1,0,2,1,Young Engaged Mass-Market,0.8341236957909197,Very High
614,51,4,40685.92,1,1,1,46775.28,0,0,1,1,0,Affluent Low-Product Users,0.34667810623544365,Medium
742,35,5,136857.0,1,0,0,84509.57,1,0,1,0,0,High-Risk German Affluent,0.2089334016424668,Low
687,27,9,152328.88,2,0,0,126494.82,1,0,0,0,0,High-Risk German Affluent,0.0648504771469907,Low
555,33,1,56084.69,2,0,0,178798.13,0,1,1,2,0,Young Engaged Mass-Market,0.06861530139458448,Low
684,56,8,78707.16,1,1,1,99398.36,0,1,1,2,0,Young Engaged Mass-Market,0.12932116232798646,Low
603,26,4,109166.37,1,1,1,92840.67,1,0,1,0,0,High-Risk German Affluent,0.08069425806382241,Low
751,36,6,169831.46,2,1,1,27758.36,1,0,0,0,0,High-Risk German Affluent,0.049834615426390845,Low
581,34,1,101633.04,1,1,0,110431.51,1,0,0,0,0,High-Risk German Affluent,0.1720539524809648,Low
735,43,10,123180.01,2,1,1,196673.28,1,0,1,0,0,High-Risk German Affluent,0.12136567927309781,Low
661,35,5,150725.53,2,0,1,113656.85,1,0,0,0,0,High-Risk German Affluent,0.005987500000000001,Low
675,21,8,98373.26,1,1,0,18203.0,0,0,0,1,0,Affluent Low-Product Users,0.11911889114051163,Low
738,58,2,133745.44,4,1,0,28373.86,1,0,1,0,1,High-Risk German Affluent,0.88529113175013,Very High
813,29,6,0.0,1,1,0,33953.87,0,0,1,3,0,Low-Balance Multi-Product Users,0.24721410453426393,Low
657,37,0,163607.18,1,0,1,44203.55,0,1,0,2,0,Young Engaged Mass-Market,0.1015413106534271,Low
604,25,5,157780.84,2,1,1,58426.81,1,0,0,0,0,High-Risk German Affluent,0.031599067743288516,Low
519,36,9,0.0,2,0,1,145562.4,0,0,1,3,0,Low-Balance Multi-Product Users,0.0209872425304907,Low
735,21,1,178718.19,2,1,0,22388.0,0,0,0,1,0,Affluent Low-Product Users,0.09637803383781715,Low
664,55,8,0.0,2,1,1,139161.64,0,0,1,3,0,Low-Balance Multi-Product Users,0.042065954770589366,Low
678,32,9,0.0,1,1,1,148210.64,0,0,0,3,0,Low-Balance Multi-Product Users,0.09044976116285575,Low
757,33,5,77253.22,1,0,1,194239.63,0,1,1,2,0,Young Engaged Mass-Market,0.045860438850993064,Low
416,41,10,122189.66,2,1,0,98301.61,1,0,0,0,0,High-Risk German Affluent,0.18226837520736947,Low
665,34,1,96645.54,2,0,0,171413.66,0,0,0,1,0,Affluent Low-Product Users,0.06029606625504746,Low
777,32,2,0.0,1,1,0,136458.19,0,0,0,3,1,Low-Balance Multi-Product Users,0.7212781202904237,High
543,36,3,0.0,2,0,0,26019.59,0,0,0,3,0,Low-Balance Multi-Product Users,0.06650963121666767,Low
506,34,4,90307.62,1,1,1,159235.29,0,0,0,1,0,Affluent Low-Product Users,0.10083648721339278,Low
493,46,4,0.0,2,1,0,1907.66,0,0,0,3,0,Low-Balance Multi-Product Users,0.22479547224869934,Low
652,75,10,0.0,2,1,1,114675.75,0,1,0,2,0,Young Engaged Mass-Market,0.062038132425994826,Low
750,22,3,121681.82,1,1,0,128643.35,0,1,1,2,1,Young Engaged Mass-Market,0.6255209856755516,High
729,30,9,0.0,2,1,0,151869.35,0,0,1,3,0,Low-Balance Multi-Product Users,0.009249209099539192,Low
646,46,4,0.0,3,1,0,93251.42,0,0,0,3,1,Low-Balance Multi-Product Users,0.942383624163024,Very High
635,28,3,81623.67,2,1,1,156791.36,1,0,0,0,0,High-Risk German Affluent,0.04308578883185934,Low
647,44,5,0.0,3,1,1,174205.22,0,1,0,2,1,Young Engaged Mass-Market,0.872280032870951,Very High
808,45,7,118626.55,2,1,0,147132.46,0,0,1,1,0,Affluent Low-Product Users,0.2106201937609286,Low
524,36,10,0.0,2,1,0,109614.57,0,0,0,3,0,Low-Balance Multi-Product Users,0.03402347254037121,Low
769,29,8,0.0,2,1,1,172290.61,0,0,1,3,0,Low-Balance Multi-Product Users,0.01667942225753768,Low
730,42,4,0.0,2,0,1,85982.47,0,1,1,2,0,Young Engaged Mass-Market,0.018719880867820345,Low
515,35,10,176273.95,1,0,1,121277.78,0,1,1,2,0,Young Engaged Mass-Market,0.06630355967873035,Low
773,41,9,102827.44,1,0,1,64595.25,0,1,1,2,0,Young Engaged Mass-Market,0.0593559802045093,Low
814,29,8,97086.4,2,1,1,197276.13,1,0,1,0,0,High-Risk German Affluent,0.0485368381841947,Low
710,22,8,0.0,2,0,0,99645.04,0,1,1,2,0,Young Engaged Mass-Market,0.00616426922207146,Low
413,34,9,0.0,2,0,0,6534.18,0,0,1,3,0,Low-Balance Multi-Product Users,0.06767752869658311,Low
665,40,6,0.0,1,1,1,161848.03,0,0,0,3,0,Low-Balance Multi-Product Users,0.22321181217265468,Low
623,44,6,0.0,2,0,0,167162.43,0,0,0,3,0,Low-Balance Multi-Product Users,0.17652472783671763,Low
738,31,9,82674.15,1,1,0,41970.72,0,0,1,1,0,Affluent Low-Product Users,0.04365145261317937,Low
528,36,7,0.0,2,1,0,60536.56,0,1,1,2,0,Young Engaged Mass-Market,0.016520793569010678,Low
670,65,1,0.0,1,1,1,177655.68,0,1,0,2,1,Young Engaged Mass-Market,0.15931994184027484,Low
622,46,4,107073.27,2,1,1,30984.59,0,1,0,2,1,Young Engaged Mass-Market,0.7143583457734349,High
582,32,1,88938.62,1,1,1,10054.53,1,0,1,0,0,High-Risk German Affluent,0.05216804993448781,Low
785,36,2,99806.85,1,0,1,36976.52,1,0,0,0,0,High-Risk German Affluent,0.2646834462221594,Medium
605,33,5,150092.8,1,0,0,71862.79,0,1,1,2,0,Young Engaged Mass-Market,0.10534368152501435,Low
479,35,9,92833.89,1,1,0,99449.86,1,0,1,0,1,High-Risk German Affluent,0.6789171025970275,High
685,30,3,90536.81,1,0,1,63082.88,1,0,1,0,0,High-Risk German Affluent,0.041879842778238106,Low
538,39,7,108055.1,2,1,0,27231.26,1,0,1,0,0,High-Risk German Affluent,0.05268182055911685,Low
562,42,2,100238.35,1,0,0,86797.41,0,0,1,1,0,Affluent Low-Product Users,0.12107157649560596,Low
675,36,9,106190.55,1,0,1,22994.32,0,1,1,2,0,Young Engaged Mass-Market,0.03335280675807432,Low
721,28,9,154475.54,2,0,1,101300.94,1,0,1,0,1,High-Risk German Affluent,0.503956213637472,High
628,30,9,132351.29,2,1,1,74169.13,1,0,0,0,0,High-Risk German Affluent,0.009911560759191253,Low
668,37,6,167864.4,1,1,0,115638.29,1,0,0,0,0,High-Risk German Affluent,0.07773197360418987,Low
506,41,1,0.0,2,1,0,31766.3,0,0,0,3,0,Low-Balance Multi-Product Users,0.05225767964203225,Low
524,31,8,107818.63,1,1,0,199725.39,1,0,0,0,1,High-Risk German Affluent,0.8412805918635516,Very High
699,34,4,185173.81,2,1,0,120834.48,1,0,1,0,0,High-Risk German Affluent,0.04616907489295377,Low
828,34,8,129433.34,2,0,0,38131.77,0,0,1,1,0,Affluent Low-Product Users,0.02656021229370541,Low
674,39,6,120193.42,1,0,0,100130.95,0,1,1,2,0,Young Engaged Mass-Market,0.07885583091436801,Low
656,39,6,0.0,2,1,0,141069.88,0,0,0,3,0,Low-Balance Multi-Product Users,0.036975048704865274,Low
684,48,10,126384.42,1,1,1,198129.36,1,0,0,0,0,High-Risk German Affluent,0.3752844834531673,Medium
625,28,3,0.0,1,0,0,183646.41,0,0,0,3,0,Low-Balance Multi-Product Users,0.1473005103483894,Low
432,42,9,152603.45,1,1,0,110265.24,0,0,1,1,1,Affluent Low-Product Users,0.651912588213876,High
549,52,1,0.0,1,0,1,8636.05,0,0,0,3,1,Low-Balance Multi-Product Users,0.8839958215775552,Very High
625,56,0,148507.24,1,1,0,46824.08,1,0,1,0,1,High-Risk German Affluent,0.9175856240828663,Very High
828,41,7,0.0,2,1,0,171378.77,0,0,0,3,0,Low-Balance Multi-Product Users,0.21861117645314895,Low
770,24,9,101827.07,1,1,0,167256.35,0,0,1,1,0,Affluent Low-Product Users,0.05601660857932906,Low
758,34,3,0.0,2,1,1,124226.16,0,0,0,3,0,Low-Balance Multi-Product Users,0.01679199102304947,Low
795,33,9,130862.43,1,1,1,114935.21,1,0,0,0,0,High-Risk German Affluent,0.3073939600359117,Medium
687,38,9,122570.87,1,1,1,35608.88,0,0,1,1,0,Affluent Low-Product Users,0.05082356840299899,Low
686,25,1,0.0,2,0,1,16459.37,0,0,1,3,0,Low-Balance Multi-Product Users,0.014207244072543796,Low
789,39,7,124828.46,2,1,1,124411.08,1,0,1,0,0,High-Risk German Affluent,0.06467289490140302,Low
589,50,5,144895.05,2,1,1,34941.23,1,0,0,0,0,High-Risk German Affluent,0.23276579518304624,Low
461,34,5,63663.93,1,0,1,167784.28,1,0,0,0,0,High-Risk German Affluent,0.09621443330600547,Low
637,40,2,133463.1,1,0,1,93165.34,0,0,1,1,0,Affluent Low-Product Users,0.11226814656447918,Low
584,48,2,213146.2,1,1,0,75161.25,0,1,0,2,1,Young Engaged Mass-Market,0.4758538720939269,Medium
579,35,1,129490.36,2,0,1,8590.83,0,1,0,2,1,Young Engaged Mass-Market,0.6360776587588928,High
756,44,10,137452.09,1,1,0,189543.9,1,0,1,0,0,High-Risk German Affluent,0.43281715925040337,Medium
663,34,7,0.0,2,1,1,180427.24,0,0,1,3,0,Low-Balance Multi-Product Users,0.0022193057877862615,Low
682,43,5,125851.93,1,1,1,193318.33,0,0,0,1,0,Affluent Low-Product Users,0.08891137892607849,Low
793,52,2,0.0,1,1,0,159123.82,0,1,1,2,1,Young Engaged Mass-Market,0.9001261394579736,Very High
691,31,5,40915.55,1,1,0,126213.84,0,0,0,1,1,Affluent Low-Product Users,0.41545697129042697,Medium
485,21,5,113157.22,1,1,1,54141.5,0,1,0,2,0,Young Engaged Mass-Market,0.05930087877831298,Low
635,29,8,138296.94,2,1,0,141075.51,0,1,0,2,0,Young Engaged Mass-Market,0.11870391695074879,Low
650,37,5,106967.18,1,0,0,24495.03,0,0,1,1,0,Affluent Low-Product Users,0.08897742010424071,Low
735,44,9,120681.63,1,1,0,74836.34,0,0,1,1,0,Affluent Low-Product Users,0.25070195305072573,Medium
416,32,0,0.0,2,0,1,878.87,0,0,1,3,0,Low-Balance Multi-Product Users,0.12180057245337901,Low
754,32,7,0.0,2,1,0,89520.75,0,1,0,2,0,Young Engaged Mass-Market,0.023176030248446812,Low
535,48,9,0.0,1,1,0,149892.79,0,0,0,3,1,Low-Balance Multi-Product Users,0.9036727779501539,Very High
716,42,8,0.0,2,1,0,180800.42,0,1,1,2,0,Young Engaged Mass-Market,0.11144220860254363,Low
539,37,2,127609.59,1,1,0,98646.22,0,0,1,1,0,Affluent Low-Product Users,0.022181505691904604,Low
614,43,6,0.0,2,1,1,109041.53,0,0,0,3,0,Low-Balance Multi-Product Users,0.06771257853329139,Low
706,57,7,0.0,1,1,0,17941.16,0,1,1,2,1,Young Engaged Mass-Market,0.9521763551082141,Very High
758,33,7,0.0,2,0,0,82996.47,0,0,0,3,0,Low-Balance Multi-Product Users,0.007232954590003754,Low
586,28,2,0.0,2,1,1,92067.35,0,1,0,2,0,Young Engaged Mass-Market,0.037928429952240966,Low
646,73,6,97259.25,1,0,1,104719.66,0,0,0,1,0,Affluent Low-Product Users,0.06015704316297805,Low
631,33,4,123246.7,1,0,0,112687.57,1,0,0,0,0,High-Risk German Affluent,0.40285171171902934,Medium
717,22,6,101060.25,1,0,1,84699.56,0,1,0,2,0,Young Engaged Mass-Market,0.04480579533161714,Low
684,30,2,0.0,2,1,0,83473.82,0,0,1,3,0,Low-Balance Multi-Product Users,0.09669517548631074,Low
800,49,7,108007.36,1,0,0,47125.11,0,0,0,1,0,Affluent Low-Product Users,0.261846618368845,Medium
721,36,2,0.0,2,1,1,106977.8,0,1,0,2,0,Young Engaged Mass-Market,0.03820674084951313,Low
683,29,0,133702.89,1,1,0,55582.54,0,1,1,2,1,Young Engaged Mass-Market,0.6563368821719607,High
660,31,9,125189.75,2,1,1,139874.43,1,0,1,0,0,High-Risk German Affluent,0.03711272747247292,Low
704,24,7,113034.22,1,1,0,162503.48,1,0,0,0,1,High-Risk German Affluent,0.270326521088797,Medium
615,41,9,109013.23,1,1,0,196499.96,0,1,0,2,0,Young Engaged Mass-Market,0.1867576996989784,Low
667,39,2,0.0,2,1,0,40721.24,0,1,0,2,1,Young Engaged Mass-Market,0.4857441564062101,Medium
682,24,9,57929.81,2,0,0,53134.3,1,0,1,0,0,High-Risk German Affluent,0.05211438544975576,Low
484,29,4,130114.39,1,1,0,164017.89,0,0,0,1,0,Affluent Low-Product Users,0.22903200581751573,Low
628,27,5,95826.49,2,1,0,155996.96,1,0,1,0,0,High-Risk German Affluent,0.06380455368129033,Low
480,44,10,129608.57,1,1,0,5472.7,1,0,1,0,1,High-Risk German Affluent,0.7878154549002552,Very High
578,30,4,169462.09,1,1,0,112187.11,0,0,1,1,0,Affluent Low-Product Users,0.09903077353330168,Low
512,40,5,0.0,2,1,1,146457.83,0,0,1,3,0,Low-Balance Multi-Product Users,0.0024677173216402126,Low
484,35,7,133868.21,1,1,1,27286.1,0,1,0,2,0,Young Engaged Mass-Market,0.08514519915347334,Low
510,30,0,0.0,2,1,1,130553.47,0,0,0,3,0,Low-Balance Multi-Product Users,0.052811718301546025,Low
606,36,5,190479.48,2,0,0,179351.89,1,0,1,0,0,High-Risk German Affluent,0.1109136778723096,Low
597,40,8,101993.12,1,0,1,94774.12,0,1,0,2,0,Young Engaged Mass-Market,0.06997195740159029,Low
754,55,3,161608.81,1,1,0,8080.85,1,0,0,0,1,High-Risk German Affluent,0.9011251031506765,Very High
850,45,2,122311.21,1,1,1,19482.5,0,1,0,2,0,Young Engaged Mass-Market,0.14293468454437133,Low
510,65,2,0.0,2,1,1,48071.61,0,0,1,3,0,Low-Balance Multi-Product Users,0.04835712049604234,Low
778,45,1,162150.42,2,1,0,174531.27,1,0,0,0,0,High-Risk German Affluent,0.43753745626928386,Medium
636,42,2,0.0,2,1,1,55470.78,0,0,1,3,0,Low-Balance Multi-Product Users,0.02933381320081006,Low
804,50,4,0.0,1,1,1,8546.87,0,0,0,3,1,Low-Balance Multi-Product Users,0.8776452996984477,Very High
514,32,8,0.0,2,1,0,95857.18,0,0,1,3,0,Low-Balance Multi-Product Users,0.01490588895436761,Low
730,39,1,99010.67,1,1,0,194945.8,0,0,0,1,0,Affluent Low-Product Users,0.18452988397190437,Low
525,37,0,0.0,1,0,1,131521.72,0,1,0,2,0,Young Engaged Mass-Market,0.3335571572907553,Medium
616,30,5,0.0,2,0,1,196108.51,0,1,1,2,0,Young Engaged Mass-Market,0.015818149552268398,Low
687,34,7,111388.18,2,1,0,148564.76,1,0,0,0,0,High-Risk German Affluent,0.06249950641935076,Low
715,41,8,56214.85,2,0,0,92982.61,0,0,0,3,1,Low-Balance Multi-Product Users,0.6626162500320751,High
512,36,3,84327.77,2,1,0,17675.36,0,0,0,3,0,Low-Balance Multi-Product Users,0.111051221612881,Low
479,40,1,0.0,2,0,0,114996.43,0,0,1,3,0,Low-Balance Multi-Product Users,0.059473624839491174,Low
601,32,8,93012.89,1,1,0,86957.42,0,0,1,1,0,Affluent Low-Product Users,0.047120828295129646,Low
580,29,9,61710.44,2,1,0,128077.8,0,1,1,2,0,Young Engaged Mass-Market,0.03359505446933198,Low
807,35,3,174790.15,1,1,1,600.36,0,0,1,1,0,Affluent Low-Product Users,0.14439253968514787,Low
616,32,6,0.0,2,1,1,43001.46,0,1,0,2,0,Young Engaged Mass-Market,0.048629436001257,Low
721,37,3,107720.64,1,1,1,158591.12,1,0,1,0,0,High-Risk German Affluent,0.2603841356805976,Medium
501,57,10,0.0,2,1,1,47847.19,0,0,1,3,0,Low-Balance Multi-Product Users,0.2295342448045747,Low
521,35,6,96423.84,1,1,0,10488.44,0,0,1,1,0,Affluent Low-Product Users,0.04891796338824477,Low
850,30,2,141040.01,1,1,1,5978.2,0,1,1,2,0,Young Engaged Mass-Market,0.05400975344646557,Low
759,42,4,105420.18,1,0,1,121409.06,0,0,1,1,0,Affluent Low-Product Users,0.12481994481425222,Low
516,50,5,0.0,1,0,1,146145.93,0,1,1,2,1,Young Engaged Mass-Market,0.8072006846563152,Very High
711,38,2,129022.06,2,1,1,14374.86,0,0,0,1,1,Affluent Low-Product Users,0.5993396584078506,High
512,33,3,176666.62,1,1,0,94670.77,0,1,1,2,0,Young Engaged Mass-Market,0.29552903776823913,Medium
550,37,3,0.0,1,1,1,179670.31,0,0,1,3,0,Low-Balance Multi-Product Users,0.17421378058181353,Low
608,41,3,89763.84,1,0,0,199304.74,0,1,0,2,1,Young Engaged Mass-Market,0.710878554346409,High
618,34,5,134954.53,1,1,1,151954.39,0,0,1,1,0,Affluent Low-Product Users,0.03770052228018832,Low
643,45,5,0.0,1,1,0,142513.5,0,0,1,3,1,Low-Balance Multi-Product Users,0.8785279000293131,Very High
671,45,2,106376.85,1,0,1,158264.62,0,0,1,1,0,Affluent Low-Product Users,0.23486957551598123,Low
689,33,2,161814.64,2,1,0,169381.9,1,0,1,0,0,High-Risk German Affluent,0.0175653374601665,Low
603,31,8,0.0,2,1,1,169915.02,0,0,1,3,0,Low-Balance Multi-Product Users,0.010765571533483564,Low
620,41,9,0.0,2,0,0,88852.47,0,0,0,3,0,Low-Balance Multi-Product Users,0.08532288565167018,Low
676,34,1,63095.01,1,1,1,40645.81,0,0,0,1,0,Affluent Low-Product Users,0.07820630854625693,Low
572,26,4,118287.01,2,0,0,60427.3,1,0,1,0,0,High-Risk German Affluent,0.09738438467135824,Low
668,47,7,106854.21,1,0,1,157959.02,1,0,1,0,1,High-Risk German Affluent,0.7158904944967275,High
695,46,7,49512.55,1,1,0,133007.34,0,0,1,1,0,Affluent Low-Product Users,0.4534568915357509,Medium
730,33,9,0.0,2,0,0,176576.62,0,1,0,2,0,Young Engaged Mass-Market,0.024373696961591258,Low
807,43,1,105799.32,2,1,0,34888.04,0,0,1,1,1,Affluent Low-Product Users,0.08883797658865292,Low
592,54,8,0.0,1,1,1,28737.71,0,0,1,3,1,Low-Balance Multi-Product Users,0.700614182399474,High
726,31,9,114722.05,2,1,1,98178.57,0,0,0,1,0,Affluent Low-Product Users,0.040938124000286076,Low
514,30,7,0.0,1,0,1,125010.24,0,1,1,2,0,Young Engaged Mass-Market,0.12668701976324445,Low
567,42,2,0.0,2,1,1,167984.61,0,0,1,3,0,Low-Balance Multi-Product Users,0.02947148957035102,Low
850,33,10,0.0,1,1,0,4861.72,0,0,1,3,1,Low-Balance Multi-Product Users,0.22614252558208178,Low
671,45,6,99564.22,1,1,1,108872.45,1,0,1,0,1,High-Risk German Affluent,0.7945608566398795,Very High
670,37,4,170557.91,2,1,0,198252.88,0,0,1,1,0,Affluent Low-Product Users,0.13091665491054438,Low
694,30,9,0.0,2,1,1,26960.31,0,0,0,3,0,Low-Balance Multi-Product Users,0.03160055953127981,Low
547,39,6,74596.15,3,1,1,85746.52,1,0,0,0,1,High-Risk German Affluent,0.9135792096163686,Very High
751,50,2,96888.39,1,1,0,77206.25,1,0,1,0,1,High-Risk German Affluent,0.9030606995974451,Very High
594,29,3,130830.22,1,1,0,61048.53,1,0,0,0,0,High-Risk German Affluent,0.3030514411050599,Medium
673,72,1,0.0,2,0,1,111981.19,0,0,1,3,0,Low-Balance Multi-Product Users,0.007842757442149224,Low
610,40,0,0.0,2,1,0,62232.6,0,0,1,3,0,Low-Balance Multi-Product Users,0.037755636045703346,Low
512,37,1,0.0,2,0,1,156105.03,0,0,0,3,0,Low-Balance Multi-Product Users,0.021971838462699664,Low
767,20,3,119714.25,2,0,1,150135.38,1,0,1,0,0,High-Risk German Affluent,0.03910012933318179,Low
585,67,5,113978.97,2,0,1,93146.11,0,0,0,1,0,Affluent Low-Product Users,0.09650367940954642,Low
763,42,6,100160.75,1,1,0,33462.94,1,0,1,0,1,High-Risk German Affluent,0.6995611966529887,High
712,29,2,0.0,1,1,1,144375.0,0,0,0,3,0,Low-Balance Multi-Product Users,0.07735677748445473,Low
539,43,3,116220.5,3,1,0,55803.96,1,0,0,0,1,High-Risk German Affluent,0.9422233363750298,Very High
668,46,2,0.0,3,1,0,89048.46,0,0,0,3,1,Low-Balance Multi-Product Users,0.9102045325848659,Very High
703,28,2,81173.83,2,0,1,162812.16,0,0,1,3,0,Low-Balance Multi-Product Users,0.043094190832884766,Low
662,38,4,0.0,2,1,0,136259.65,0,1,1,2,0,Young Engaged Mass-Market,0.01766383822312702,Low
725,39,5,116803.8,1,1,0,124052.97,1,0,0,0,0,High-Risk German Affluent,0.2743518776065324,Medium
703,37,8,105961.68,2,0,1,74158.8,0,0,1,1,0,Affluent Low-Product Users,0.024312927093398815,Low
659,67,6,117411.6,1,1,1,45071.09,1,0,1,0,1,High-Risk German Affluent,0.31641525678483245,Medium
